[96, 175, 127],
[93, 173, 127],
[137, 156, 181],
[131, 153, 181],
[140, 158, 181],
[144, 160, 181],
[138, 156, 181],
[132, 153, 181],
[134, 155, 181],
[146, 161, 181],
[136, 155, 181],
[129, 152, 181],
[128, 151, 181],
[139, 157, 181],
[135, 155, 181],
[132, 153, 181],
[129, 152, 181],
[140, 158, 181],
[133, 154, 181],
[128, 151, 181],
[135, 155, 181],
[92, 107, 127],
[132, 153, 181],
[132, 153, 181],
[130, 152, 181],
[133, 154, 181],
[132, 153, 181],
[138, 157, 181],
[130, 152, 181],
[128, 151, 181],
[129, 151, 181],
[90, 107, 127],
[128, 151, 181],
[129, 152, 181],
[128, 151, 181],
[128, 151, 181],
[128, 151, 181],
[128, 151, 181],
[128, 151, 181],
[128, 151, 181],
[67, 77, 90],
[128, 151, 181],
[128, 151, 181],
[128, 151, 181],
[129, 152, 181],
[128, 151, 181],
[129, 152, 181],
[129, 152, 181],
[135, 155, 181],
[129, 152, 181],
[134, 154, 181],
[131, 153, 181],
[134, 154, 181],
[141, 158, 181],
[131, 153, 181],
[136, 155, 181],
[138, 156, 181],
[129, 152, 181],
[135, 155, 181],
[134, 154, 181],
[44, 133, 26],
[132, 153, 181],
[130, 152, 181],
[136, 155, 181],
[130, 152, 181],
[129, 152, 181],
[137, 156, 181],
[92, 108, 127],
[129, 152, 181],
[130, 152, 181],
[131, 153, 181],
[75, 33, 121],
[130, 152, 181],
[115, 121, 127],
[136, 155, 181],
[140, 157, 181],
[133, 154, 181],
[129, 152, 181],
[128, 151, 181],
[135, 155, 181],
[129, 152, 181],
[132, 153, 181],
[132, 153, 181],
[144, 159, 181],
[129, 151, 181],
[133, 154, 181],
[135, 155, 181],
[132, 153, 181],
[141, 158, 181],
[134, 154, 181],
[145, 160, 181],
[135, 155, 181],
[132, 153, 181],
[129, 152, 181],
[142, 159, 181],
[135, 155, 181],
[145, 160, 181],
[132, 153, 181],
[133, 154, 181],
[130, 152, 181],
[128, 151, 181],
[140, 157, 181],
[132, 153, 181],
[133, 154, 181],
[136, 156, 181],
[130, 152, 181],
[133, 154, 181],
[37, 33, 49],
[39, 34, 49],
[133, 154, 181],
[137, 156, 181],
[135, 155, 181],
[133, 154, 181],
[40, 34, 78],
[42, 35, 78],
[132, 153, 181],
[130, 152, 181],
[43, 35, 78],
[43, 35, 78],
[42, 35, 78],
[44, 35, 78],
[40, 34, 78],
[39, 34, 78],
[33, 11, 57],
[39, 34, 78],
[40, 34, 78],
[39, 33, 78],
[39, 34, 78],
[41, 34, 78],
[41, 34, 78],
[41, 34, 78],
[44, 35, 78],
[43, 35, 78],
[42, 35, 78],
[40, 34, 78],
[40, 34, 78],
[42, 35, 78],
[39, 34, 78],
[39, 34, 78],
[40, 34, 78],
[38, 33, 78],
[39, 33, 78],
[40, 34, 78],
[40, 34, 78],
[44, 36, 78],
[46, 36, 78],
[41, 34, 78],
[44, 36, 78],
[45, 36, 78],
[45, 36, 78],
[39, 33, 78],
[40, 34, 78],
[131, 153, 181],
[137, 156, 181],
[148, 162, 181],
[135, 155, 181],
[141, 158, 181],
[128, 151, 181],
[18, 22, 43],
[58, 7, 19],
[189, 227, 214],
[186, 225, 214],
[115, 149, 151],
[192, 229, 214],
[59, 38, 83],
[190, 228, 214],
[4, 73, 22],
[193, 230, 214],
[186, 226, 214],
[188, 226, 214],
[182, 223, 214],
[36, 34, 65],
[25, 23, 46],
[37, 34, 65],
[182, 223, 214],
[182, 223, 214],
[179, 221, 214],
[180, 221, 214],
[179, 221, 214],
[186, 226, 214],
[182, 223, 214],
[180, 222, 214],
[41, 36, 65],
[180, 221, 214],
[184, 224, 214],
[188, 227, 214],
[186, 226, 214],
[194, 230, 214],
[184, 224, 214],
[115, 150, 151],
[179, 221, 214],
[190, 228, 214],
[189, 227, 214],
[183, 223, 214],
[177, 220, 214],
[189, 227, 214],
[188, 226, 214],
[192, 229, 214],
[192, 229, 214],
[184, 224, 214],
[37, 71, 26],
[116, 150, 151],
[86, 52, 13],
[189, 227, 214],
[191, 229, 214],
[185, 225, 214],
[114, 149, 151],
[190, 228, 214],
[164, 186, 151],
[104, 125, 107],
[51, 54, 38],
[104, 125, 107],
[1, 4, 0],
[171, 189, 151],
[142, 159, 181],
[132, 153, 181],
[109, 127, 107],
[138, 156, 181],
[142, 159, 181],
[132, 153, 181],
[131, 153, 181],
[128, 151, 181],
[133, 154, 181],
[137, 156, 181],
[132, 153, 181],
[131, 153, 181],
[130, 152, 181],
[129, 152, 181],
[135, 155, 181],
[139, 157, 181],
[28, 47, 9],
[139, 157, 181],
[129, 152, 181],
[129, 152, 181],
[131, 153, 181],
[91, 107, 127],
[131, 153, 181],
[134, 154, 181],
[128, 151, 181],
[129, 152, 181],
[132, 153, 181],
[129, 152, 181],
[129, 152, 181],
[142, 158, 181],
[146, 161, 181],
[148, 162, 181],
[135, 155, 181],
[137, 156, 181],
[131, 153, 181],
[134, 154, 181],
[130, 152, 181],
[130, 152, 181],
[116, 121, 127],
[130, 152, 181],
[129, 152, 181],
[27, 46, 9],
[131, 153, 181],
[129, 152, 181],
[134, 154, 181],
[120, 128, 128],
[123, 130, 128],
[118, 127, 128],
[119, 128, 128],
[118, 127, 128],
[119, 128, 128],
[126, 131, 128],
[74, 88, 75],
[120, 128, 128],
[118, 127, 128],
[40, 59, 37],
[117, 127, 128],
[118, 127, 128],
[118, 127, 128],
[107, 126, 107],
[122, 129, 128],
[122, 129, 128],
[122, 129, 128],
[119, 128, 128],
[118, 127, 128],
[119, 128, 128],
[132, 134, 128],
[121, 129, 128],
[130, 133, 128],
[123, 130, 128],
[129, 133, 128],
[131, 133, 128],
[133, 135, 128],
[121, 129, 128],
[123, 130, 128],
[79, 76, 64],
[130, 133, 128],
[121, 129, 128],
[103, 100, 90],
[119, 128, 128],
[127, 132, 128],
[126, 131, 128],
[125, 131, 128],
[118, 127, 128],
[137, 137, 128],
[124, 130, 128],
[118, 127, 128],
[125, 131, 128],
[118, 127, 128],
[124, 130, 128],
[117, 127, 128],
[129, 132, 128],
[126, 131, 128],
[118, 127, 128],
[127, 131, 128],
[130, 133, 128],
[0, 0, 0],
[26, 46, 9],
[0, 0, 0],
[5, 14, 0],
[137, 156, 181],
[130, 152, 181],
[27, 47, 9],
[135, 155, 181],
[1, 11, 0],
[5, 12, 0],
[131, 153, 181],
[27, 47, 9],
[28, 47, 9],
[27, 46, 9],
[133, 154, 181],
[6, 15, 0],
[26, 46, 9],
[132, 153, 181],
[26, 46, 9],
[128, 151, 181],
[130, 152, 181],
[143, 159, 181],
[28, 48, 9],
[136, 155, 181],
[27, 46, 9],
[129, 152, 181],
[129, 152, 181],
[135, 155, 181],
[132, 153, 181],
[131, 153, 181],
[129, 152, 181],
[128, 151, 181],
[28, 47, 9],
[130, 152, 181],
[131, 153, 181],
[132, 153, 181],
[130, 152, 181],
[142, 159, 181],
[137, 156, 181],
[128, 151, 181],
[137, 156, 181],
[136, 155, 181],
[139, 157, 181],
[135, 155, 181],
[133, 154, 181],
[128, 151, 181],
[140, 157, 181],
[40, 39, 9],
[129, 151, 181],
[136, 155, 181],
[135, 155, 181],
[139, 157, 181],
[140, 157, 181],
[138, 156, 181],
[128, 151, 181],
[140, 157, 181],
[131, 153, 181],
[82, 86, 90],
[128, 151, 181],
[128, 151, 181],
[134, 154, 181],
[132, 153, 181],
[129, 152, 181],
[128, 151, 181],
[136, 155, 181],
[138, 157, 181],
[134, 154, 181],
[130, 152, 181],
[130, 152, 181],
[3, 40, 4],
[135, 155, 181],
[141, 158, 181],
[21, 78, 27],
[130, 152, 181],
[138, 156, 181],
[21, 79, 27],
[132, 153, 181],
[133, 154, 181],
[131, 153, 181],
[129, 152, 181],
[128, 151, 181],
[128, 151, 181],
[30, 112, 38],
[128, 151, 181],
[132, 153, 181],
[130, 152, 181],
[131, 153, 181],
[22, 79, 27],
[130, 152, 181],
[4, 24, 1],
[130, 152, 181],
[136, 155, 181],
[133, 154, 181],
[133, 154, 181],
[0, 0, 0],
[136, 155, 181],
[30, 111, 38],
[29, 109, 38],
[29, 109, 38],
[30, 111, 38],
[30, 111, 38],
[5, 59, 5],
[30, 111, 38],
[29, 110, 38],
[29, 109, 38],
[29, 109, 38],
[31, 113, 38],
[29, 109, 38],
[14, 87, 19],
[28, 109, 38],
[29, 109, 38],
[30, 110, 38],
[31, 113, 38],
[33, 116, 38],
[29, 110, 38],
[33, 116, 38],
[0, 28, 0],
[30, 111, 38],
[30, 112, 38],
[30, 111, 38],
[0, 29, 0],
[30, 111, 38],
[29, 110, 38],
[29, 109, 38],
[5, 59, 5],
[129, 151, 181],
[29, 110, 38],
[29, 110, 38],
[136, 156, 181],
[130, 152, 181],
[132, 153, 181],
[129, 152, 181],
[3, 39, 4],
[128, 151, 181],
[60, 116, 90],
[1, 14, 4],
[90, 169, 127],
[92, 172, 127],
[88, 168, 127],
[93, 172, 127],
[94, 174, 127],
[62, 119, 90],
[86, 166, 127],
[93, 172, 127],
[43, 25, 105],
[10, 34, 13],
[87, 167, 127],
[89, 169, 127],
[98, 178, 127],
[94, 174, 127],
[96, 175, 127],
[86, 166, 127],
[89, 169, 127],
[87, 167, 127],
[97, 176, 127],
[5, 54, 26],
[59, 116, 90],
[99, 178, 127],
[88, 168, 127],
[87, 167, 127],
[96, 176, 127],
[95, 174, 127],
[85, 165, 127],
[89, 169, 127],
[94, 173, 127],
[88, 168, 127],
[88, 168, 127],
[87, 167, 127],
[98, 177, 127],
[88, 168, 127],
[34, 40, 76],
[83, 164, 127],
[99, 178, 127],
[95, 175, 127],
[99, 178, 127],
[83, 164, 127],
[53, 2, 10],
[97, 176, 127],
[48, 2, 10],
[32, 20, 53],
[92, 172, 127],
[91, 171, 127],
[86, 166, 127],
[96, 175, 127],
[87, 167, 127],
[92, 172, 127],
[90, 170, 127],
[87, 167, 127],
[59, 116, 90],
[23, 49, 6],
[31, 20, 53],
[129, 152, 181],
[141, 158, 181],
[129, 152, 181],
[130, 152, 181],
[128, 151, 181],
[131, 153, 181],
[128, 151, 181],
[140, 158, 181],
[132, 153, 181],
[138, 156, 181],
[135, 155, 181],
[134, 154, 181],
[135, 155, 181],
[137, 156, 181],
[136, 155, 181],
[128, 151, 181],
[135, 155, 181],
[143, 159, 181],
[134, 154, 181],
[130, 152, 181],
[131, 153, 181],
[116, 121, 127],
[141, 158, 181],
[143, 159, 181],
[131, 153, 181],
[135, 155, 181],
[132, 153, 181],
[136, 155, 181],
[130, 152, 181],
[130, 152, 181],
[141, 158, 181],
[129, 152, 181],
[129, 152, 181],
[144, 160, 181],
[128, 151, 181],
[128, 151, 181],
[135, 155, 181],
[128, 151, 181],
[149, 162, 181],
[128, 151, 181],
[130, 152, 181],
[129, 152, 181],
[128, 151, 181],
[128, 151, 181],
[97, 110, 127],
[128, 151, 181],
[129, 152, 181],
[129, 152, 181],
[129, 152, 181],
[130, 152, 181],
[130, 152, 181],
[131, 153, 181],
[133, 154, 181],
[136, 155, 181],
[133, 154, 181],
[76, 83, 90],
[138, 156, 181],
[133, 154, 181],
[146, 160, 181],
[136, 155, 181],
[137, 156, 181],
[142, 158, 181],
[134, 154, 181],
[135, 155, 181],
[134, 154, 181],
[130, 152, 181],
[140, 158, 181],
[96, 110, 127],
[129, 152, 181],
[141, 158, 181],
[131, 152, 181],
[136, 155, 181],
[145, 160, 181],
[95, 109, 127],
[128, 151, 181],
[135, 155, 181],
[130, 152, 181],
[129, 152, 181],
[135, 155, 181],
[138, 157, 181],
[27, 87, 18],
[131, 153, 181],
[129, 152, 181],
[132, 153, 181],
[109, 118, 127],
[134, 154, 181],
[134, 154, 181],
[128, 151, 181],
[139, 157, 181],
[134, 154, 181],
[128, 151, 181],
[131, 153, 181],
[136, 155, 181],
[140, 158, 181],
[128, 151, 181],
[130, 152, 181],
[148, 162, 181],
[132, 153, 181],
[140, 158, 181],
[130, 152, 181],
[132, 153, 181],
[140, 157, 181],
[135, 155, 181],
[141, 158, 181],
[141, 158, 181],
[132, 153, 181],
[37, 33, 49],
[130, 152, 181],
[131, 153, 181],
[129, 152, 181],
[134, 154, 181],
[42, 35, 78],
[69, 81, 97],
[135, 155, 181],
[41, 34, 78],
[39, 33, 78],
[39, 33, 78],
[39, 34, 78],
[41, 34, 78],
[40, 34, 78],
[42, 35, 78],
[40, 34, 78],
[40, 34, 78],
[43, 35, 78],
[38, 33, 78],
[39, 33, 78],
[40, 34, 78],
[39, 34, 78],
[40, 34, 78],
[42, 34, 78],
[41, 34, 78],
[42, 35, 78],
[43, 35, 78],
[40, 34, 78],
[39, 34, 78],
[41, 34, 78],
[40, 34, 78],
[38, 33, 78],
[41, 34, 78],
[42, 35, 78],
[45, 36, 78],
[43, 35, 78],
[41, 34, 78],
[40, 34, 78],
[42, 35, 78],
[45, 36, 78],
[40, 34, 78],
[41, 34, 78],
[44, 36, 78],
[41, 34, 78],
[41, 34, 78],
[35, 32, 49],
[41, 34, 78],
[42, 35, 78],
[25, 24, 29],
[39, 34, 78],
[136, 155, 181],
[113, 148, 151],
[118, 151, 151],
[108, 81, 89],
[192, 229, 214],
[195, 231, 214],
[193, 229, 214],
[186, 225, 214],
[191, 228, 214],
[191, 228, 214],
[186, 225, 214],
[65, 32, 101],
[14, 7, 12],
[186, 225, 214],
[188, 227, 214],
[37, 34, 65],
[14, 16, 22],
[39, 35, 65],
[37, 34, 65],
[38, 34, 65],
[188, 226, 214],
[24, 23, 46],
[182, 223, 214],
[36, 33, 65],
[37, 34, 65],
[187, 226, 214],
[189, 227, 214],
[184, 224, 214],
[105, 145, 56],
[178, 221, 214],
[193, 230, 214],
[177, 220, 214],
[190, 227, 214],
[86, 121, 124],
[126, 156, 151],
[181, 222, 214],
[190, 228, 214],
[190, 228, 214],
[60, 87, 145],
[185, 225, 214],
[190, 228, 214],
[118, 73, 19],
[24, 0, 7],
[190, 228, 214],
[190, 228, 214],
[186, 225, 214],
[66, 186, 152],
[116, 150, 151],
[113, 148, 151],
[114, 149, 151],
[103, 124, 107],
[115, 150, 151],
[117, 151, 151],
[41, 89, 13],
[173, 191, 151],
[106, 126, 107],
[133, 154, 181],
[131, 153, 181],
[133, 154, 181],
[0, 0, 0],
[135, 155, 181],
[128, 151, 181],
[129, 152, 181],
[132, 153, 181],
[138, 156, 181],
[133, 154, 181],
[128, 151, 181],
[136, 155, 181],
[136, 155, 181],
[139, 157, 181],
[133, 154, 181],
[130, 152, 181],
[133, 154, 181],
[139, 157, 181],
[128, 151, 181],
[130, 152, 181],
[131, 153, 181],
[138, 157, 181],
[129, 152, 181],
[131, 153, 181],
[128, 151, 181],
[128, 151, 181],
[142, 158, 181],
[136, 155, 181],
[134, 154, 181],
[128, 151, 181],
[130, 152, 181],
[132, 153, 181],
[131, 153, 181],
[128, 151, 181],
[128, 151, 181],
[128, 151, 181],
[129, 152, 181],
[137, 156, 181],
[123, 130, 128],
[28, 47, 9],
[135, 155, 181],
[136, 155, 181],
[130, 152, 181],
[135, 155, 181],
[137, 156, 181],
[28, 47, 9],
[133, 154, 181],
[129, 132, 128],
[0, 0, 0],
[118, 127, 128],
[120, 128, 128],
[125, 131, 128],
[123, 130, 128],
[127, 132, 128],
[128, 132, 128],
[0, 1, 0],
[113, 129, 107],
[18, 14, 27],
[117, 127, 128],
[122, 129, 128],
[124, 130, 128],
[119, 128, 128],
[117, 127, 128],
[125, 131, 128],
[125, 131, 128],
[117, 127, 128],
[118, 127, 128],
[118, 127, 128],
[126, 131, 128],
[52, 99, 53],
[134, 135, 128],
[120, 128, 128],
[121, 129, 128],
[120, 128, 128],
[121, 129, 128],
[122, 129, 128],
[125, 130, 128],
[135, 136, 128],
[118, 127, 128],
[121, 129, 128],
[129, 133, 128],
[121, 129, 128],
[125, 131, 128],
[122, 129, 128],
[122, 129, 128],
[123, 129, 128],
[126, 131, 128],
[119, 128, 128],
[117, 127, 128],
[120, 128, 128],
[118, 127, 128],
[119, 128, 128],
[126, 131, 128],
[123, 130, 128],
[118, 127, 128],
[119, 128, 128],
[119, 128, 128],
[118, 127, 128],
[5, 14, 0],
[27, 47, 9],
[5, 14, 0],
[6, 14, 0],
[0, 3, 0],
[6, 14, 0],
[0, 1, 0],
[26, 39, 6],
[29, 48, 9],
[26, 46, 9],
[131, 153, 181],
[135, 155, 181],
[1, 15, 0],
[23, 37, 6],
[5, 1, 2],
[129, 152, 181],
[131, 153, 181],
[137, 156, 181],
[128, 151, 181],
[129, 152, 181],
[128, 151, 181],
[43, 70, 13],
[130, 152, 181],
[5, 14, 0],
[138, 156, 181],
[127, 151, 181],
[133, 154, 181],
[138, 157, 181],
[113, 120, 127],
[26, 46, 9],
[145, 160, 181],
[132, 153, 181],
[128, 151, 181],
[78, 84, 90],
[129, 152, 181],
[133, 154, 181],
[134, 154, 181],
[128, 151, 181],
[130, 152, 181],
[135, 155, 181],
[131, 153, 181],
[131, 153, 181],
[131, 153, 181],
[130, 152, 181],
[132, 153, 181],
[133, 154, 181],
[23, 36, 6],
[130, 152, 181],
[135, 155, 181],
[131, 153, 181],
[136, 155, 181],
[132, 153, 181],
[128, 151, 181],
[129, 152, 181],
[132, 153, 181],
[130, 152, 181],
[144, 159, 181],
[130, 152, 181],
[152, 164, 181],
[132, 153, 181],
[134, 154, 181],
[21, 78, 27],
[128, 151, 181],
[144, 160, 181],
[123, 125, 127],
[137, 156, 181],
[128, 151, 181],
[135, 155, 181],
[129, 152, 181],
[133, 154, 181],
[129, 152, 181],
[137, 156, 181],
[128, 151, 181],
[135, 155, 181],
[134, 154, 181],
[134, 155, 181],
[129, 152, 181],
[33, 115, 38],
[128, 151, 181],
[131, 153, 181],
[5, 8, 11],
[130, 152, 181],
[145, 160, 181],
[133, 154, 181],
[129, 152, 181],
[136, 155, 181],
[141, 158, 181],
[144, 160, 181],
[130, 152, 181],
[132, 153, 181],
[21, 78, 27],
[146, 161, 181],
[130, 152, 181],
[21, 79, 27],
[4, 55, 5],
[30, 111, 38],
[30, 111, 38],
[0, 29, 0],
[0, 29, 0],
[4, 45, 4],
[27, 92, 27],
[29, 109, 38],
[31, 113, 38],
[31, 113, 38],
[4, 57, 5],
[30, 112, 38],
[30, 111, 38],
[29, 109, 38],
[30, 111, 38],
[31, 113, 38],
[30, 110, 38],
[4, 56, 5],
[31, 113, 38],
[4, 56, 5],
[30, 110, 38],
[30, 112, 38],
[29, 109, 38],
[30, 111, 38],
[30, 112, 38],
[4, 56, 5],
[30, 111, 38],
[20, 102, 12],
[30, 111, 38],
[29, 109, 38],
[21, 78, 27],
[135, 155, 181],
[128, 151, 181],
[128, 151, 181],
[135, 155, 181],
[129, 152, 181],
[139, 157, 181],
[88, 168, 127],
[94, 174, 127],
[87, 167, 127],
[86, 166, 127],
[62, 119, 90],
[58, 115, 90],
[58, 115, 90],
[60, 116, 90],
[97, 176, 127],
[67, 60, 11],
[88, 168, 127],
[15, 76, 54],
[84, 165, 127],
[61, 118, 90],
[92, 172, 127],
[92, 171, 127],
[61, 118, 90],
[61, 118, 90],
[19, 31, 4],
[97, 176, 127],
[82, 163, 127],
[86, 166, 127],
[89, 169, 127],
[63, 120, 90],
[93, 172, 127],
[62, 57, 11],
[96, 175, 127],
[87, 167, 127],
[82, 163, 127],
[93, 173, 127],
[90, 170, 127],
[63, 58, 11],
[93, 172, 127],
[91, 171, 127],
[85, 165, 127],
[23, 28, 54],
[63, 119, 90],
[59, 116, 90],
[98, 178, 127],
[99, 178, 127],
[83, 164, 127],
[29, 52, 54],
[65, 121, 90],
[90, 170, 127],
[97, 176, 127],
[95, 174, 127],
[94, 173, 127],
[90, 170, 127],
[97, 176, 127],
[74, 3, 15],
[93, 172, 127],
[61, 118, 90],
[62, 119, 90],
[63, 119, 90],
[59, 116, 90],
[92, 172, 127],
[98, 178, 127],
[31, 20, 53],
[85, 166, 127],
[128, 151, 181],
[133, 154, 181],
[138, 156, 181],
[151, 163, 181],
[130, 152, 181],
[100, 112, 127],
[136, 155, 181],
[131, 153, 181],
[135, 155, 181],
[128, 151, 181],
[128, 151, 181],
[138, 157, 181],
[129, 152, 181],
[130, 152, 181],
[136, 156, 181],
[135, 155, 181],
[128, 151, 181],
[139, 157, 181],
[32, 114, 38],
[136, 156, 181],
[139, 157, 181],
[132, 153, 181],
[132, 153, 181],
[137, 156, 181],
[135, 155, 181],
[131, 153, 181],
[131, 153, 181],
[130, 152, 181],
[139, 157, 181],
[137, 156, 181],
[130, 152, 181],
[131, 153, 181],
[132, 153, 181],
[144, 160, 181],
[139, 157, 181],
[132, 153, 181],
[128, 151, 181],
[128, 151, 181],
[134, 154, 181],
[129, 152, 181],
[93, 108, 127],
[128, 151, 181],
[128, 151, 181],
[129, 152, 181],
[92, 108, 127],
[131, 153, 181],
[129, 152, 181],
[152, 164, 181],
[137, 156, 181],
[145, 160, 181],
[130, 152, 181],
[130, 152, 181],
[139, 157, 181],
[134, 155, 181],
[143, 159, 181],
[131, 153, 181],
[132, 153, 181],
[91, 107, 127],
[100, 112, 127],
[130, 152, 181],
[136, 155, 181],
[96, 109, 127],
[139, 157, 181],
[133, 154, 181],
[135, 155, 181],
[131, 152, 181],
[134, 154, 181],
[128, 151, 181],
[129, 152, 181],
[128, 151, 181],
[144, 160, 181],
[128, 151, 181],
[137, 156, 181],
[138, 156, 181],
[140, 157, 181],
[128, 151, 181],
[140, 157, 181],
[144, 160, 181],
[147, 161, 181],
[128, 151, 181],
[149, 163, 181],
[128, 128, 127],
[130, 152, 181],
[145, 160, 181],
[153, 164, 181],
[148, 162, 181],
[131, 153, 181],
[140, 158, 181],
[136, 156, 181],
[130, 152, 181],
[135, 155, 181],
[130, 152, 181],
[129, 152, 181],
[128, 151, 181],
[136, 155, 181],
[132, 153, 181],
[128, 151, 181],
[132, 153, 181],
[150, 163, 181],
[129, 152, 181],
[135, 155, 181],
[129, 152, 181],
[133, 154, 181],
[131, 153, 181],
[131, 153, 181],
[130, 152, 181],
[137, 156, 181],
[129, 152, 181],
[131, 153, 181],
[128, 151, 181],
[135, 155, 181],
[142, 159, 181],
[43, 35, 78],
[40, 34, 78],
[42, 35, 78],
[42, 34, 78],
[131, 153, 181],
[41, 34, 78],
[40, 34, 78],
[40, 34, 78],
[38, 33, 78],
[38, 33, 78],
[39, 34, 78],
[40, 34, 78],
